id,tool,asset,category,severity,title,description,evidence,recommendation,status
250,nmap,192.168.112.130 (192.168.112.130),open_port,High,Open port 21/tcp — ftp,Port 21 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: ftp 2.3.4.,Nmap scan detected open port 21/tcp with service 'ftp' on 192.168.112.130,Disable FTP if not needed. Use SFTP instead.,Potential
252,nmap,192.168.112.130 (192.168.112.130),open_port,High,Open port 23/tcp — telnet,Port 23 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: telnet .,Nmap scan detected open port 23/tcp with service 'telnet' on 192.168.112.130,Disable Telnet immediately. Use SSH instead.,Potential
258,nmap,192.168.112.130 (192.168.112.130),open_port,High,Open port 445/tcp — netbios-ssn,Port 445 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: netbios-ssn 3.X - 4.X.,Nmap scan detected open port 445/tcp with service 'netbios-ssn' on 192.168.112.130,Disable SMB if not needed. Apply latest patches.,Potential
293,ffuf,http://192.168.112.130/phpMyAdmin,endpoint,High,Endpoint discovered: http://192.168.112.130/phpMyAdmin [301],"ffuf discovered endpoint 'http://192.168.112.130/phpMyAdmin' returning HTTP 301. Response size: 328 bytes, 21 words.","ffuf found: http://192.168.112.130/phpMyAdmin — status 301, length 328",This endpoint 'phpMyAdmin' appears to be a sensitive path. Restrict access immediately and review authentication controls.,Potential
251,nmap,192.168.112.130 (192.168.112.130),open_port,Medium,Open port 22/tcp — ssh,Port 22 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: ssh 4.7p1 Debian 8ubuntu1.,Nmap scan detected open port 22/tcp with service 'ssh' on 192.168.112.130,Restrict SSH access to trusted IPs only. Disable root login.,Potential
257,nmap,192.168.112.130 (192.168.112.130),open_port,Medium,Open port 139/tcp — netbios-ssn,Port 139 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: netbios-ssn 3.X - 4.X.,Nmap scan detected open port 139/tcp with service 'netbios-ssn' on 192.168.112.130,Restrict NetBIOS access. Apply firewall rules.,Potential
284,ffuf,http://192.168.112.130/.hta,endpoint,Medium,Endpoint discovered: http://192.168.112.130/.hta [403],"ffuf discovered endpoint 'http://192.168.112.130/.hta' returning HTTP 403. Response size: 292 bytes, 22 words.","ffuf found: http://192.168.112.130/.hta — status 403, length 292",Endpoint returns 403. Review access controls and ensure proper authentication is enforced.,Potential
285,ffuf,http://192.168.112.130/.htaccess,endpoint,Medium,Endpoint discovered: http://192.168.112.130/.htaccess [403],"ffuf discovered endpoint 'http://192.168.112.130/.htaccess' returning HTTP 403. Response size: 297 bytes, 22 words.","ffuf found: http://192.168.112.130/.htaccess — status 403, length 297",Endpoint returns 403. Review access controls and ensure proper authentication is enforced.,Potential
286,ffuf,http://192.168.112.130/.htpasswd,endpoint,Medium,Endpoint discovered: http://192.168.112.130/.htpasswd [403],"ffuf discovered endpoint 'http://192.168.112.130/.htpasswd' returning HTTP 403. Response size: 297 bytes, 22 words.","ffuf found: http://192.168.112.130/.htpasswd — status 403, length 297",Endpoint returns 403. Review access controls and ensure proper authentication is enforced.,Potential
287,ffuf,http://192.168.112.130/cgi-bin/,endpoint,Medium,Endpoint discovered: http://192.168.112.130/cgi-bin/ [403],"ffuf discovered endpoint 'http://192.168.112.130/cgi-bin/' returning HTTP 403. Response size: 296 bytes, 22 words.","ffuf found: http://192.168.112.130/cgi-bin/ — status 403, length 296",Endpoint returns 403. Review access controls and ensure proper authentication is enforced.,Potential
294,ffuf,http://192.168.112.130/server-status,endpoint,Medium,Endpoint discovered: http://192.168.112.130/server-status [403],"ffuf discovered endpoint 'http://192.168.112.130/server-status' returning HTTP 403. Response size: 301 bytes, 22 words.","ffuf found: http://192.168.112.130/server-status — status 403, length 301",Endpoint returns 403. Review access controls and ensure proper authentication is enforced.,Potential
253,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 25/tcp — smtp,Port 25 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: smtp .,Nmap scan detected open port 25/tcp with service 'smtp' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
254,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 53/tcp — domain,Port 53 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: domain 9.4.2.,Nmap scan detected open port 53/tcp with service 'domain' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
256,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 111/tcp — rpcbind,Port 111 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: rpcbind 2.,Nmap scan detected open port 111/tcp with service 'rpcbind' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
259,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 512/tcp — exec,Port 512 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: exec .,Nmap scan detected open port 512/tcp with service 'exec' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
260,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 513/tcp — login,Port 513 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: login .,Nmap scan detected open port 513/tcp with service 'login' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
261,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 514/tcp — tcpwrapped,Port 514 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: tcpwrapped .,Nmap scan detected open port 514/tcp with service 'tcpwrapped' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
262,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 1099/tcp — java-rmi,Port 1099 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: java-rmi .,Nmap scan detected open port 1099/tcp with service 'java-rmi' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
263,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 1524/tcp — bindshell,Port 1524 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: bindshell .,Nmap scan detected open port 1524/tcp with service 'bindshell' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
264,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 2049/tcp — nfs,Port 2049 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: nfs 2-4.,Nmap scan detected open port 2049/tcp with service 'nfs' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
265,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 2121/tcp — ftp,Port 2121 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: ftp 1.3.1.,Nmap scan detected open port 2121/tcp with service 'ftp' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
266,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 3306/tcp — mysql,Port 3306 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: mysql 5.0.51a-3ubuntu5.,Nmap scan detected open port 3306/tcp with service 'mysql' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
267,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 5432/tcp — postgresql,Port 5432 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: postgresql 8.3.0 - 8.3.7.,Nmap scan detected open port 5432/tcp with service 'postgresql' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
268,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 5900/tcp — vnc,Port 5900 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: vnc .,Nmap scan detected open port 5900/tcp with service 'vnc' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
269,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 6000/tcp — X11,Port 6000 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: X11 .,Nmap scan detected open port 6000/tcp with service 'X11' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
270,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 6667/tcp — irc,Port 6667 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: irc .,Nmap scan detected open port 6667/tcp with service 'irc' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
271,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 8009/tcp — ajp13,Port 8009 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: ajp13 .,Nmap scan detected open port 8009/tcp with service 'ajp13' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
272,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 8180/tcp — http,Port 8180 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: http 1.1.,Nmap scan detected open port 8180/tcp with service 'http' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
275,whatweb,http://192.168.112.130,tech_fingerprint,Low,Technology detected: Apache 2.2.8,WhatWeb detected 'Apache' on http://192.168.112.130. Detail: 2.2.8.,WhatWeb plugin match: Apache — 2.2.8 on http://192.168.112.130,Ensure Apache is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
279,whatweb,http://192.168.112.130,tech_fingerprint,Low,Technology detected: PHP 5.2.4-2ubuntu5.10,WhatWeb detected 'PHP' on http://192.168.112.130. Detail: 5.2.4-2ubuntu5.10.,WhatWeb plugin match: PHP — 5.2.4-2ubuntu5.10 on http://192.168.112.130,Ensure PHP is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
